Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
1.44 23.94 1022.11 28.24 0.033184 -0.035136 1.010648 0.56 0.07 -0.77 -0.1380 -0.4935 -0.6360
1.45 23.94 1022.10 28.27 0.033184 -0.035624 1.011136 0.56 0.07 -0.77 -0.1395 -0.4950 -0.6345
1.46 23.94 1022.15 28.26 0.031232 -0.036600 1.012112 0.56 0.07 -0.77 -0.1410 -0.4875 -0.6390
1.47 23.94 1022.15 28.26 0.032208 -0.034648 1.012112 0.63 0.07 -0.84 -0.1290 -0.4890 -0.6315
1.48 23.94 1022.21 28.24 0.031232 -0.038064 1.012112 0.63 0.07 -0.77 -0.1350 -0.4830 -0.6390
1.49 23.94 1022.18 28.23 0.031232 -0.036600 1.012112 0.63 0.14 -0.77 -0.1350 -0.4890 -0.6360
1.50 23.94 1022.18 28.21 0.031720 -0.036600 1.012112 0.63 0.14 -0.77 -0.1305 -0.4920 -0.6360
1.51 23.94 1022.18 28.20 0.031720 -0.037088 1.011624 0.56 0.07 -0.77 -0.1230 -0.4950 -0.6360
1.52 23.94 1022.17 28.20 0.031720 -0.037088 1.013088 0.56 0.07 -0.77 -0.1365 -0.4920 -0.6450
1.53 23.94 1022.18 28.19 0.032208 -0.037576 1.011624 0.63 0.07 -0.77 -0.1305 -0.4950 -0.6390
1.54 23.94 1022.19 28.17 0.033672 -0.037088 1.013576 0.56 0.00 -0.84 -0.1380 -0.4935 -0.6420
1.55 23.94 1022.19 28.16 0.031720 -0.037088 1.011136 0.63 0.07 -0.77 -0.1290 -0.4875 -0.6315
1.56 23.94 1022.16 28.16 0.031720 -0.037576 1.013088 0.70 0.14 -0.77 -0.1395 -0.4845 -0.6300
1.57 23.94 1022.18 28.15 0.032208 -0.037576 1.012600 0.56 0.07 -0.77 -0.1350 -0.4980 -0.6375
1.58 23.94 1022.12 28.17 0.032208 -0.035624 1.010160 0.56 0.07 -0.77 -0.1395 -0.4920 -0.6345
1.59 23.94 1022.12 28.19 0.032208 -0.035136 1.012112 0.63 0.07 -0.77 -0.1380 -0.4905 -0.6360
1.60 23.94 1022.17 28.18 0.032208 -0.035624 1.012112 0.56 0.07 -0.77 -0.1425 -0.4890 -0.6375
1.61 23.94 1022.20 28.17 0.033184 -0.035136 1.012600 0.56 0.07 -0.77 -0.1395 -0.4905 -0.6255
